Salle,Film,Version,Relief,Payants,Gratuits,Places libres,Taux remplissage,date,time
SALLE 2,Les Plus Belles Années D'une Vie,FR,2D,5.0,,139.0,"3,47%",22/05/2019,21:00
SALLE 3,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,2.0,1.0,189.0,"1,56%",22/05/2019,21:00
SALLE 5,Les Crevettes Pailletées,FR,2D,2.0,,112.0,"1,75%",22/05/2019,21:00
SALLE 6,Aladdin,VF,2D,23.0,,265.0,"7,99%",22/05/2019,21:00
SALLE 2,Voyages De Rêve,FR,2D,80.0,13.0,51.0,"64,58%",23/05/2019,11:00
SALLE 3,Bienvenue à Gattaca,VF,2D,79.0,7.0,106.0,"44,79%",23/05/2019,11:00
SALLE 5,Voyages De Rêve,FR,2D,81.0,13.0,20.0,"82,46%",23/05/2019,11:00
SALLE 1,Douleur Et Gloire,VO,2D,4.0,,89.0,"4,30%",23/05/2019,14:00
SALLE 2,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,1.0,,143.0,"0,69%",23/05/2019,14:00
SALLE 3,Les Crevettes Pailletées,FR,2D,5.0,,187.0,"2,60%",23/05/2019,14:00
SALLE 5,Nous Finirons Ensemble,FR,2D,4.0,,110.0,"3,51%",23/05/2019,14:00
SALLE 2,Douleur Et Gloire,VF,2D,6.0,,138.0,"4,17%",23/05/2019,16:00
SALLE 3,Les Plus Belles Années D'une Vie,FR,2D,,,192.0,,23/05/2019,16:10
SALLE 1,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,,,93.0,,23/05/2019,16:20
SALLE 5,Avengers: Endgame,VF,2D,13.0,,101.0,"11,40%",23/05/2019,17:30
SALLE 3,Aladdin,VF,2D,5.0,,187.0,"2,60%",23/05/2019,18:10
SALLE 1,Douleur Et Gloire,VO,2D,3.0,,90.0,"3,23%",23/05/2019,18:20
SALLE 2,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,,,144.0,,23/05/2019,18:20
SALLE 6,Les Plus Belles Années D'une Vie,FR,2D,7.0,,281.0,"2,43%",23/05/2019,18:30
SALLE 2,Coming Out,FR,2D,4.0,,140.0,"2,78%",23/05/2019,20:30
SALLE 6,Nous Finirons Ensemble,FR,2D,14.0,,274.0,"4,86%",23/05/2019,20:30
SALLE 1,Astrid,VO,2D,1.0,,92.0,"1,08%",23/05/2019,20:40
SALLE 4,Les Plus Belles Années D'une Vie,FR,2D,14.0,,79.0,"15,05%",23/05/2019,20:40
SALLE 3,Hellboy,VF,2D,2.0,,190.0,"1,04%",23/05/2019,20:50
SALLE 5,Les Crevettes Pailletées,FR,2D,5.0,,109.0,"4,39%",23/05/2019,21:00
SALLE 1,Voyages De Rêve,FR,2D,26.0,3.0,64.0,"31,18%",24/05/2019,11:00
SALLE 2,Le Voleur De Bicyclette,VF,2D,51.0,3.0,90.0,"37,50%",24/05/2019,11:00
SALLE 4,Voyages De Rêve,FR,2D,48.0,9.0,36.0,"61,29%",24/05/2019,11:00
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,1.0,,92.0,"1,08%",24/05/2019,13:50
SALLE 2,Pokémon Détective Pikachu,VF,2D,5.0,,139.0,"3,47%",24/05/2019,13:50
SALLE 3,Les Crevettes Pailletées,FR,2D,1.0,,191.0,"0,52%",24/05/2019,13:50
SALLE 4,Astrid,VO,2D,2.0,,91.0,"2,15%",24/05/2019,13:50
SALLE 5,Sibyl,FR,2D,5.0,,109.0,"4,39%",24/05/2019,13:50
SALLE 6,Hellboy,VF,2D,2.0,,286.0,"0,69%",24/05/2019,13:50
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,5.0,,88.0,"5,38%",24/05/2019,16:00
SALLE 2,Nous Finirons Ensemble,FR,2D,,,144.0,,24/05/2019,16:00
SALLE 3,Aladdin,VF,2D,11.0,,181.0,"5,73%",24/05/2019,16:00
SALLE 5,Douleur Et Gloire,VO,2D,4.0,,110.0,"3,51%",24/05/2019,16:00
SALLE 6,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,,,288.0,,24/05/2019,16:10
SALLE 4,Les Crevettes Pailletées,FR,2D,2.0,,91.0,"2,15%",24/05/2019,16:20
SALLE 1,Nous Finirons Ensemble,FR,2D,4.0,2.0,87.0,"6,45%",24/05/2019,18:00
SALLE 6,Aladdin,VF,2D,49.0,,239.0,"17,01%",24/05/2019,18:10
SALLE 3,Avengers: Endgame,VF,2D,,,192.0,,24/05/2019,18:30
SALLE 4,Douleur Et Gloire,VF,2D,15.0,,78.0,"16,13%",24/05/2019,18:30
SALLE 5,Sibyl,FR,2D,4.0,,110.0,"3,51%",24/05/2019,18:30
SALLE 2,Pokémon Détective Pikachu,VF,2D,20.0,,124.0,"13,89%",24/05/2019,18:40
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,5.0,,88.0,"5,38%",24/05/2019,21:00
SALLE 2,Avengers: Endgame,VF,2D,12.0,,132.0,"8,33%",24/05/2019,21:00
SALLE 4,Douleur Et Gloire,VO,2D,10.0,,83.0,"10,75%",24/05/2019,21:00
SALLE 5,Sibyl,FR,2D,12.0,,102.0,"10,53%",24/05/2019,21:00
SALLE 6,Aladdin,VF,2D,51.0,2.0,235.0,"18,40%",24/05/2019,21:00
SALLE 3,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,5.0,,187.0,"2,60%",24/05/2019,22:00
SALLE 1,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,6.0,,87.0,"6,45%",25/05/2019,13:30
SALLE 2,Les Plus Belles Années D'une Vie,FR,2D,,,144.0,,25/05/2019,13:30
SALLE 3,Aladdin,VF,2D,38.0,3.0,151.0,"21,35%",25/05/2019,13:30
SALLE 4,Douleur Et Gloire,VF,2D,5.0,,88.0,"5,38%",25/05/2019,13:30
SALLE 5,Sibyl,FR,2D,4.0,,110.0,"3,51%",25/05/2019,13:30
SALLE 6,Pokémon Détective Pikachu,VF,2D,25.0,,263.0,"8,68%",25/05/2019,13:30
SALLE 1,Astrid,VO,2D,1.0,,92.0,"1,08%",25/05/2019,15:30
SALLE 2,Nous Finirons Ensemble,FR,2D,10.0,,134.0,"6,94%",25/05/2019,15:30
SALLE 5,Rita Et Crocodile,VO,2D,6.0,,108.0,"5,26%",25/05/2019,15:40
SALLE 6,Aladdin,VF,2D,97.0,,191.0,"33,68%",25/05/2019,15:50
SALLE 3,Pokémon Détective Pikachu,VF,2D,48.0,,144.0,"25,00%",25/05/2019,16:10
SALLE 4,Les Plus Belles Années D'une Vie,FR,2D,13.0,,80.0,"13,98%",25/05/2019,16:10
SALLE 5,Avengers: Endgame,VF,2D,28.0,,86.0,"24,56%",25/05/2019,17:00
SALLE 1,Douleur Et Gloire,VO,2D,16.0,,77.0,"17,20%",25/05/2019,18:00
SALLE 2,Nous Finirons Ensemble,FR,2D,29.0,,115.0,"20,14%",25/05/2019,18:20
SALLE 3,Aladdin,VF,2D,70.0,,122.0,"36,46%",25/05/2019,18:20
SALLE 4,Sibyl,FR,2D,18.0,,75.0,"19,35%",25/05/2019,18:20
SALLE 6,Les Crevettes Pailletées,FR,2D,22.0,,266.0,"7,64%",25/05/2019,18:30
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,8.0,,85.0,"8,60%",25/05/2019,20:30
SALLE 5,Sibyl,FR,2D,26.0,,88.0,"22,81%",25/05/2019,20:30
SALLE 2,Nous Finirons Ensemble,FR,2D,45.0,1.0,98.0,"31,94%",25/05/2019,21:00
SALLE 3,Avengers: Endgame,VF,2D,17.0,,175.0,"8,85%",25/05/2019,21:00
SALLE 4,Douleur Et Gloire,VO,2D,25.0,,68.0,"26,88%",25/05/2019,21:00
SALLE 6,Aladdin,VF,2D,101.0,,187.0,"35,07%",25/05/2019,21:00
SALLE 1,Hellboy,VF,2D,6.0,,87.0,"6,45%",25/05/2019,22:30
SALLE 5,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,18.0,,96.0,"15,79%",25/05/2019,22:30
SALLE 3,Aladdin,VF,2D,21.0,,171.0,"10,94%",26/05/2019,10:50
SALLE 5,Nous Finirons Ensemble,FR,2D,,,114.0,,26/05/2019,10:50
SALLE 6,Astrid,VO,2D,1.0,,287.0,"0,35%",26/05/2019,10:50
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,2.0,,91.0,"2,15%",26/05/2019,11:00
SALLE 2,Pokémon Détective Pikachu,VF,2D,9.0,,135.0,"6,25%",26/05/2019,11:00
SALLE 4,Rita Et Crocodile,VO,2D,6.0,,87.0,"6,45%",26/05/2019,11:00
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,1.0,,92.0,"1,08%",26/05/2019,13:30
SALLE 2,Pokémon Détective Pikachu,VF,2D,4.0,,140.0,"2,78%",26/05/2019,13:30
SALLE 3,Douleur Et Gloire,VO,2D,6.0,,186.0,"3,13%",26/05/2019,13:30
SALLE 5,Les Crevettes Pailletées,FR,2D,9.0,,105.0,"7,89%",26/05/2019,13:30
SALLE 6,Aladdin,VF,2D,46.0,3.0,239.0,"17,01%",26/05/2019,13:30
SALLE 4,Avengers: Endgame,VF,2D,22.0,,71.0,"23,66%",26/05/2019,14:00
SALLE 1,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,6.0,,87.0,"6,45%",26/05/2019,15:30
SALLE 5,Nous Finirons Ensemble,FR,2D,13.0,,101.0,"11,40%",26/05/2019,15:40
SALLE 2,Sibyl,FR,2D,14.0,,130.0,"9,72%",26/05/2019,15:50
SALLE 3,Pokémon Détective Pikachu,VF,2D,33.0,,159.0,"17,19%",26/05/2019,16:00
SALLE 6,Aladdin,VF,2D,72.0,,216.0,"25,00%",26/05/2019,16:20
SALLE 1,Avengers: Endgame,VF,2D,8.0,,85.0,"8,60%",26/05/2019,17:30
SALLE 4,Aladdin,VF,2D,41.0,2.0,50.0,"46,24%",26/05/2019,17:50
SALLE 2,Sibyl,FR,2D,10.0,,134.0,"6,94%",26/05/2019,18:00
SALLE 3,Douleur Et Gloire,VO,2D,20.0,,172.0,"10,42%",26/05/2019,18:30
SALLE 5,Les Crevettes Pailletées,FR,2D,24.0,,90.0,"21,05%",26/05/2019,18:30
SALLE 2,Les Plus Belles Années D'une Vie,FR,2D,2.0,2.0,140.0,"2,78%",26/05/2019,20:30
SALLE 4,Hellboy,VF,2D,,,93.0,,26/05/2019,20:30
SALLE 6,Nous Finirons Ensemble,FR,2D,6.0,,282.0,"2,08%",26/05/2019,20:30
SALLE 1,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,2.0,,91.0,"2,15%",26/05/2019,21:00
SALLE 3,Douleur Et Gloire,VF,2D,2.0,,190.0,"1,04%",26/05/2019,21:00
SALLE 5,Sibyl,FR,2D,9.0,,105.0,"7,89%",26/05/2019,21:00
SALLE 2,Jason Et Les Argonautes,FR,2D,71.0,3.0,70.0,"51,39%",27/05/2019,11:30
SALLE 5,Jason Et Les Argonautes,FR,2D,64.0,3.0,47.0,"58,77%",27/05/2019,11:30
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,6.0,,87.0,"6,45%",27/05/2019,13:50
SALLE 2,Pokémon Détective Pikachu,VF,2D,,,144.0,,27/05/2019,13:50
SALLE 3,Douleur Et Gloire,VF,2D,8.0,,184.0,"4,17%",27/05/2019,13:50
SALLE 4,Astrid,VO,2D,1.0,,92.0,"1,08%",27/05/2019,13:50
SALLE 6,Sibyl,FR,2D,4.0,,284.0,"1,39%",27/05/2019,13:50
SALLE 5,Nous Finirons Ensemble,FR,2D,7.0,1.0,106.0,"7,02%",27/05/2019,14:00
SALLE 1,Douleur Et Gloire,VO,2D,,,93.0,,27/05/2019,15:40
SALLE 2,Hellboy,VF,2D,2.0,,142.0,"1,39%",27/05/2019,16:00
SALLE 6,Sibyl,FR,2D,4.0,2.0,282.0,"2,08%",27/05/2019,16:00
SALLE 3,Nous Finirons Ensemble,FR,2D,6.0,,186.0,"3,13%",27/05/2019,16:10
SALLE 4,Aladdin,VF,2D,17.0,,76.0,"18,28%",27/05/2019,16:20
SALLE 5,Avengers: Endgame,VF,2D,5.0,,109.0,"4,39%",27/05/2019,17:00
SALLE 1,Douleur Et Gloire,VO,2D,8.0,,85.0,"8,60%",27/05/2019,18:00
SALLE 6,Aladdin,VF,2D,25.0,,263.0,"8,68%",27/05/2019,18:10
SALLE 2,Les Crevettes Pailletées,FR,2D,5.0,,139.0,"3,47%",27/05/2019,18:20
SALLE 3,Les Plus Belles Années D'une Vie,FR,2D,5.0,,187.0,"2,60%",27/05/2019,18:50
SALLE 4,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,2.0,,91.0,"2,15%",27/05/2019,18:50
SALLE 1,Astrid,VF,2D,4.0,,89.0,"4,30%",27/05/2019,20:30
SALLE 2,Pokémon Détective Pikachu,VF,2D,2.0,,142.0,"1,39%",27/05/2019,20:30
SALLE 5,Les Plus Belles Années D'une Vie,FR,2D,4.0,,110.0,"3,51%",27/05/2019,20:40
SALLE 3,Sibyl,FR,2D,9.0,1.0,182.0,"5,21%",27/05/2019,21:00
SALLE 4,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,7.0,,86.0,"7,53%",27/05/2019,21:00
SALLE 6,Les Crevettes Pailletées,FR,2D,10.0,,278.0,"3,47%",27/05/2019,21:00
SALLE 4,Le Voleur De Bicyclette,VF,2D,39.0,6.0,48.0,"48,39%",28/05/2019,11:15
SALLE 1,Voyages De Rêve,FR,2D,45.0,8.0,40.0,"56,99%",28/05/2019,11:25
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,5.0,,88.0,"5,38%",28/05/2019,13:50
SALLE 2,Sibyl,FR,2D,3.0,,141.0,"2,08%",28/05/2019,13:50
SALLE 3,Hellboy,VF,2D,2.0,,190.0,"1,04%",28/05/2019,13:50
SALLE 4,Douleur Et Gloire,VF,2D,7.0,,86.0,"7,53%",28/05/2019,13:50
SALLE 5,Astrid,VO,2D,4.0,,110.0,"3,51%",28/05/2019,13:50
SALLE 6,Les Crevettes Pailletées,FR,2D,1.0,,287.0,"0,35%",28/05/2019,13:50
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,13.0,,80.0,"13,98%",28/05/2019,16:00
SALLE 2,Douleur Et Gloire,VO,2D,6.0,,138.0,"4,17%",28/05/2019,16:00
SALLE 6,Aladdin,VF,2D,14.0,,274.0,"4,86%",28/05/2019,16:00
SALLE 3,Les Crevettes Pailletées,FR,2D,5.0,,187.0,"2,60%",28/05/2019,16:10
SALLE 5,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,,,114.0,,28/05/2019,16:20
SALLE 4,Pokémon Détective Pikachu,VF,2D,,,93.0,,28/05/2019,16:30
SALLE 1,Nous Finirons Ensemble,FR,2D,15.0,2.0,76.0,"18,28%",28/05/2019,18:00
SALLE 5,Les Crevettes Pailletées,FR,2D,9.0,,105.0,"7,89%",28/05/2019,18:10
SALLE 2,Pokémon Détective Pikachu,VF,2D,9.0,,135.0,"6,25%",28/05/2019,18:20
SALLE 3,Aladdin,VF,2D,51.0,2.0,139.0,"27,60%",28/05/2019,18:20
SALLE 6,Sibyl,FR,2D,9.0,,279.0,"3,13%",28/05/2019,18:30
SALLE 4,Cold Blood Legacy - La Mémoire Du Sang,FR,2D,6.0,,87.0,"6,45%",28/05/2019,18:50
SALLE 5,Avengers: Endgame,VF,2D,22.0,,92.0,"19,30%",28/05/2019,20:20
SALLE 2,REVERDIR LE SAHEL,FR,2D,15.0,2.0,127.0,"11,81%",28/05/2019,20:30
SALLE 6,Aladdin,VF,2D,42.0,,246.0,"14,58%",28/05/2019,20:40
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,10.0,,83.0,"10,75%",28/05/2019,21:00
SALLE 3,Sibyl,FR,2D,10.0,,182.0,"5,21%",28/05/2019,21:00
SALLE 4,Douleur Et Gloire,VO,2D,11.0,,82.0,"11,83%",28/05/2019,21:00
SALLE 1,Douleur Et Gloire,VF,2D,2.0,,91.0,"2,15%",29/05/2019,13:30
SALLE 2,Rocketman,VF,2D,6.0,,138.0,"4,17%",29/05/2019,13:30
SALLE 3,Godzilla Ii Roi Des Monstres,VF,2D,16.0,,176.0,"8,33%",29/05/2019,13:30
SALLE 4,Venise N'est Pas En Italie,FR,2D,4.0,2.0,87.0,"6,45%",29/05/2019,13:30
SALLE 5,Aladdin,VF,2D,46.0,4.0,64.0,"43,86%",29/05/2019,13:30
SALLE 6,Pokémon Détective Pikachu,VF,2D,10.0,,278.0,"3,47%",29/05/2019,13:30
SALLE 4,Avengers: Endgame,VF,2D,5.0,,88.0,"5,38%",29/05/2019,15:30
SALLE 6,Aladdin,VF,2D,45.0,,243.0,"15,63%",29/05/2019,15:40
SALLE 1,Lourdes,FR,2D,8.0,,85.0,"8,60%",29/05/2019,16:00
SALLE 2,Sibyl,FR,2D,5.0,,139.0,"3,47%",29/05/2019,16:00
SALLE 5,Le Voyage En Ballon,FR,2D,18.0,2.0,94.0,"17,54%",29/05/2019,16:00
SALLE 3,Pokémon Détective Pikachu,VF,2D,12.0,,180.0,"6,25%",29/05/2019,16:10
SALLE 5,Les Plus Belles Années D'une Vie,FR,2D,3.0,,111.0,"2,63%",29/05/2019,17:00
SALLE 1,Godzilla Ii Roi Des Monstres,VF,2D,24.0,,69.0,"25,81%",29/05/2019,18:00
SALLE 2,Rocketman,VO,2D,11.0,,133.0,"7,64%",29/05/2019,18:20
SALLE 6,Aladdin,VF,2D,25.0,3.0,260.0,"9,72%",29/05/2019,18:20
SALLE 3,Douleur Et Gloire,VO,2D,2.0,,190.0,"1,04%",29/05/2019,18:30
SALLE 4,Venise N'est Pas En Italie,FR,2D,15.0,,78.0,"16,13%",29/05/2019,19:00
SALLE 5,Sibyl,FR,2D,,,114.0,,29/05/2019,19:00
SALLE 1,Lourdes,FR,2D,4.0,,89.0,"4,30%",29/05/2019,21:00
SALLE 2,Rocketman,VF,2D,10.0,,134.0,"6,94%",29/05/2019,21:00
SALLE 3,Godzilla Ii Roi Des Monstres,VF,2D,26.0,,166.0,"13,54%",29/05/2019,21:00
SALLE 4,Venise N'est Pas En Italie,FR,2D,17.0,2.0,74.0,"20,43%",29/05/2019,21:00
SALLE 5,Les Plus Belles Années D'une Vie,FR,2D,3.0,,111.0,"2,63%",29/05/2019,21:00
SALLE 6,Aladdin,VF,2D,72.0,2.0,214.0,"25,69%",29/05/2019,21:00
SALLE 4,Godzilla Ii Roi Des Monstres,VF,2D,3.0,,90.0,"3,23%",30/05/2019,10:50
SALLE 6,Aladdin,VF,2D,15.0,,273.0,"5,21%",30/05/2019,10:50
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,,,93.0,,30/05/2019,11:00
SALLE 2,Pokémon Détective Pikachu,VF,2D,,,144.0,,30/05/2019,11:00
SALLE 3,Lourdes,FR,2D,3.0,,189.0,"1,56%",30/05/2019,11:00
SALLE 5,Le Voyage En Ballon,FR,2D,2.0,,112.0,"1,75%",30/05/2019,11:00
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,4.0,,89.0,"4,30%",30/05/2019,13:30
SALLE 2,Pokémon Détective Pikachu,VF,2D,23.0,,121.0,"15,97%",30/05/2019,13:30
SALLE 3,Godzilla Ii Roi Des Monstres,VF,2D,14.0,,178.0,"7,29%",30/05/2019,13:30
SALLE 4,Sibyl,FR,2D,,,93.0,,30/05/2019,13:30
SALLE 5,Venise N'est Pas En Italie,FR,2D,15.0,,99.0,"13,16%",30/05/2019,13:30
SALLE 6,Aladdin,VF,2D,43.0,1.0,244.0,"15,28%",30/05/2019,13:30
SALLE 1,Venise N'est Pas En Italie,FR,2D,18.0,,75.0,"19,35%",30/05/2019,15:30
SALLE 5,Godzilla Ii Roi Des Monstres,VF,2D,40.0,,74.0,"35,09%",30/05/2019,15:50
SALLE 2,Rocketman,VO,2D,7.0,,135.0,"6,25%",30/05/2019,16:00
SALLE 4,Douleur Et Gloire,VF,2D,18.0,,75.0,"19,35%",30/05/2019,16:00
SALLE 3,Pokémon Détective Pikachu,VF,2D,28.0,,164.0,"14,58%",30/05/2019,16:10
SALLE 6,Aladdin,VF,2D,71.0,,217.0,"24,65%",30/05/2019,16:10
SALLE 1,Avengers: Endgame,VF,2D,20.0,,73.0,"21,51%",30/05/2019,17:30
SALLE 2,Aladdin,VF,2D,75.0,2.0,67.0,"53,47%",30/05/2019,18:30
SALLE 3,Rocketman,VF,2D,23.0,2.0,167.0,"13,02%",30/05/2019,18:30
SALLE 4,Sibyl,FR,2D,3.0,,90.0,"3,23%",30/05/2019,18:30
SALLE 5,Venise N'est Pas En Italie,FR,2D,33.0,2.0,79.0,"30,70%",30/05/2019,18:30
SALLE 6,Les Crevettes Pailletées,FR,2D,11.0,,277.0,"3,82%",30/05/2019,18:50
SALLE 4,Godzilla Ii Roi Des Monstres,VF,2D,37.0,,56.0,"39,78%",30/05/2019,20:50
SALLE 5,Nous Finirons Ensemble,FR,2D,29.0,,85.0,"25,44%",30/05/2019,20:50
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,5.0,,88.0,"5,38%",30/05/2019,21:00
SALLE 2,Sibyl,FR,2D,9.0,,135.0,"6,25%",30/05/2019,21:00
SALLE 3,Rocketman,VO,2D,13.0,,179.0,"6,77%",30/05/2019,21:00
SALLE 6,Douleur Et Gloire,VO,2D,7.0,,281.0,"2,43%",30/05/2019,21:00
SALLE 1,Sibyl,FR,2D,2.0,,91.0,"2,15%",31/05/2019,13:30
SALLE 2,Lourdes,FR,2D,7.0,,137.0,"4,86%",31/05/2019,13:30
SALLE 3,Aladdin,VF,2D,44.0,,148.0,"22,92%",31/05/2019,13:30
SALLE 4,Pokémon Détective Pikachu,VF,2D,20.0,,73.0,"21,51%",31/05/2019,13:30
SALLE 5,Les Plus Belles Années D'une Vie,FR,2D,6.0,,108.0,"5,26%",31/05/2019,13:30
SALLE 6,Les Crevettes Pailletées,FR,2D,5.0,,283.0,"1,74%",31/05/2019,13:30
SALLE 2,Le Voyage En Ballon,FR,2D,5.0,,139.0,"3,47%",31/05/2019,15:30
SALLE 5,Godzilla Ii Roi Des Monstres,VF,2D,26.0,1.0,87.0,"23,68%",31/05/2019,15:30
SALLE 6,Aladdin,VF,2D,30.0,,258.0,"10,42%",31/05/2019,15:40
SALLE 1,Pokémon Détective Pikachu,VF,2D,34.0,1.0,58.0,"37,63%",31/05/2019,15:50
SALLE 4,Venise N'est Pas En Italie,FR,2D,22.0,1.0,70.0,"24,73%",31/05/2019,15:50
SALLE 3,Rocketman,VF,2D,9.0,,183.0,"4,69%",31/05/2019,16:10
SALLE 2,Sibyl,FR,2D,10.0,3.0,131.0,"9,03%",31/05/2019,16:30
SALLE 4,Nous Finirons Ensemble,FR,2D,17.0,,76.0,"18,28%",31/05/2019,17:50
SALLE 1,Douleur Et Gloire,VF,2D,3.0,,90.0,"3,23%",31/05/2019,18:00
SALLE 5,Aladdin,VF,2D,33.0,,81.0,"28,95%",31/05/2019,18:20
SALLE 6,Godzilla Ii Roi Des Monstres,VF,2D,13.0,5.0,270.0,"6,25%",31/05/2019,18:20
SALLE 2,Rocketman,VO,2D,6.0,,138.0,"4,17%",31/05/2019,18:30
SALLE 3,Les Plus Belles Années D'une Vie,FR,2D,4.0,,188.0,"2,08%",31/05/2019,18:40
SALLE 1,Douleur Et Gloire,VF,2D,10.0,,83.0,"10,75%",31/05/2019,20:20
SALLE 4,Venise N'est Pas En Italie,FR,2D,35.0,,58.0,"37,63%",31/05/2019,20:30
SALLE 2,Godzilla Ii Roi Des Monstres,VF,2D,32.0,4.0,108.0,"25,00%",31/05/2019,21:00
SALLE 3,Parasite,VO,2D,,,192.0,,31/05/2019,21:00
SALLE 3,Rocketman,VF,2D,24.0,,168.0,"12,50%",31/05/2019,21:00
SALLE 5,Nous Finirons Ensemble,FR,2D,2.0,,112.0,"1,75%",31/05/2019,21:00
SALLE 6,Aladdin,VF,2D,62.0,,226.0,"21,53%",31/05/2019,21:00
SALLE 1,Godzilla Ii Roi Des Monstres,VF,2D,13.0,,80.0,"13,98%",31/05/2019,22:30
SALLE 4,Rocketman,VF,2D,2.0,,91.0,"2,15%",31/05/2019,22:30
SALLE 1,Venise N'est Pas En Italie,FR,2D,5.0,1.0,87.0,"6,45%",01/06/2019,13:30
SALLE 2,Aladdin,VF,2D,4.0,,140.0,"2,78%",01/06/2019,13:30
SALLE 3,Pokémon Détective Pikachu,VF,2D,25.0,,167.0,"13,02%",01/06/2019,13:30
SALLE 4,Sibyl,FR,2D,1.0,,92.0,"1,08%",01/06/2019,13:30
SALLE 5,Nous Finirons Ensemble,FR,2D,1.0,,113.0,"0,88%",01/06/2019,13:30
SALLE 6,Lourdes,FR,2D,5.0,,283.0,"1,74%",01/06/2019,13:30
SALLE 1,Le Voyage En Ballon,FR,2D,,,93.0,,01/06/2019,15:30
SALLE 3,Godzilla Ii Roi Des Monstres,VF,2D,27.0,,165.0,"14,06%",01/06/2019,15:40
SALLE 4,Les Plus Belles Années D'une Vie,FR,2D,3.0,,90.0,"3,23%",01/06/2019,15:40
SALLE 6,Aladdin,VF,2D,31.0,,257.0,"10,76%",01/06/2019,15:40
SALLE 2,Pokémon Détective Pikachu,VF,2D,16.0,,128.0,"11,11%",01/06/2019,16:10
SALLE 5,Rocketman,VF,2D,13.0,,101.0,"11,40%",01/06/2019,16:20
SALLE 1,Sibyl,FR,2D,5.0,,88.0,"5,38%",01/06/2019,16:30
SALLE 4,Avengers: Endgame,VF,2D,27.0,,66.0,"29,03%",01/06/2019,17:40
SALLE 2,Sibyl,FR,2D,6.0,2.0,136.0,"5,56%",01/06/2019,18:20
SALLE 3,Rocketman,VF,2D,7.0,2.0,183.0,"4,69%",01/06/2019,18:20
SALLE 6,Aladdin,VF,2D,31.0,2.0,255.0,"11,46%",01/06/2019,18:20
SALLE 1,Venise N'est Pas En Italie,FR,2D,15.0,,78.0,"16,13%",01/06/2019,18:30
SALLE 5,Douleur Et Gloire,VF,2D,3.0,,111.0,"2,63%",01/06/2019,18:40
SALLE 1,Venise N'est Pas En Italie,FR,2D,32.0,,61.0,"34,41%",01/06/2019,20:30
SALLE 2,Les Plus Belles Années D'une Vie,FR,2D,4.0,,140.0,"2,78%",01/06/2019,20:30
SALLE 3,Rocketman,VF,2D,12.0,,180.0,"6,25%",01/06/2019,21:00
SALLE 4,Douleur Et Gloire,VO,2D,4.0,,89.0,"4,30%",01/06/2019,21:00
SALLE 5,Godzilla Ii Roi Des Monstres,VF,2D,10.0,,104.0,"8,77%",01/06/2019,21:00
SALLE 6,Aladdin,VF,2D,47.0,2.0,239.0,"17,01%",01/06/2019,21:00
SALLE 1,Godzilla Ii Roi Des Monstres,VF,2D,3.0,,90.0,"3,23%",01/06/2019,22:30
SALLE 2,Les Crevettes Pailletées,FR,2D,9.0,,135.0,"6,25%",01/06/2019,22:30
SALLE 6,Aladdin,VF,2D,12.0,,276.0,"4,17%",02/06/2019,10:50
SALLE 1,Venise N'est Pas En Italie,FR,2D,4.0,,89.0,"4,30%",02/06/2019,11:00
SALLE 2,Pokémon Détective Pikachu,VF,2D,,,144.0,,02/06/2019,11:00
SALLE 3,Lourdes,FR,2D,10.0,,182.0,"5,21%",02/06/2019,11:00
SALLE 4,Les Plus Belles Années D'une Vie,FR,2D,1.0,,92.0,"1,08%",02/06/2019,11:00
SALLE 5,Le Voyage En Ballon,FR,2D,,,114.0,,02/06/2019,11:00
SALLE 1,Les Plus Belles Années D'une Vie,FR,2D,,,93.0,,02/06/2019,13:30
SALLE 2,Godzilla Ii Roi Des Monstres,VF,2D,3.0,,141.0,"2,08%",02/06/2019,13:30
SALLE 3,Rocketman,VF,2D,,,192.0,,02/06/2019,13:30
SALLE 4,Sibyl,FR,2D,6.0,,87.0,"6,45%",02/06/2019,13:30
